"","V1","V2"
"annual.population.growth.rate..19752004",0,0
"annual.population.growth.rate..2004",0,0
"average.annual.change.in.consumer.price.index..19902004",0,0.0676836137145713
"CO2.emissions..per.capita.mertic.ton.2003",0.321173692196531,0
"export.of.goods.and.services..of.GDP.1990",0,0
"export.of.goods.and.services..of.GDP.2004",0,0
"electricity.comsumption.per.capita.kWh.2003",0,0
"GDP.US.billions.2004",0,0
"GDP.PPP.US.billions.2004",0,0
"GDP.per.capita.US.2004",0.236709479008969,0
"GDP.per.capita.growth.rate..19902004",0,0
"female.economic.activity.rate..age.15.and.older.2004",-0.493410358613944,0.373527956097101
"female.economic.activity.rate.index.1990100..age.15.and.older.1990",0,0
"female.economic.activity.rate.index.1990100..age.15.and.older.2004",0,0.133883118875111
"health.expenditure.per.capita.PPP.US.2003",0,0.115714836466593
"infant.with.low.birth.weight..19962004",0,-0.456624887837922
"internet.users.per.1000.people.1990",0,0
"import.of.goods.and.services..of.GDP.1990",0,0.186846061775115
"import.of.goods.and.services..of.GDP.2004",0,0
"gross.tertiary.enrolment..ratio.of.female.to.male.2004",0,0
"oneyearsolds.fully.immunized.against.measles..2004",0,0
"manufactured.exports..of.merchandise.exports.2004",0,0
"net.foreign.direct..investment.inflows..GDP.2004",0,0
"military.expenditure..GDP.2004",0,0
"public.health.expenditure..of.GDP.2003",0,0
"private.health.expenditure..of.GDP.2003",0,0.0756891732018179
"primary.exports..of.meschandise.exports.2004",0,0
"public.expenditure.on.health..of.GDP.20032004",0.0154573809594616,0
"refugees.by.country.of.asylum.thousands.2005",0,0
"refugees.by.country.of.origin.thousands.2005",0,0
"total.armed.forces.thousands.2006",0,0
"seats.in.parliament.held.by.women..total",0,0
"ratio.estimated.female.to.male.earned.income",-0.569936466278944,0
"seats.in.lower.house.or.single.house.held.by.women..total",0,0.0186054770313414
"total.population.1975.millions",0,0
"total.population.2004.millions",0,0
"total.population.2015.millions",0,0
"tubreculosis.cass.detected.under.DOTS..2004",0.467075741374086,0
"tubreculosis.cass.cured.under.DOTS..2004",0.173127858198879,0
"traditional.fuel.consumption..total.energy.requirements.2003",0,0
"ODA.per.capita.of.donor.country.2004.US..2004",0,0
"ODA.to.least.developed.countries..of.total.1990",0,0
"ODA.to.least.developed.countries..of.total.2004",0,0
"official.developement.assistance.ODA.received.net.disbursements.Total.US..millions",0,0
"official.developement.assistance.ODA.received.net.disbursements.per.capita.US",0,0
